action_debug,action_duty_ref,action_v_ref,dt,g,i,p,t,t_mod,v
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.025000000000000015,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.026000000000000016,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.027000000000000017,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.028000000000000018,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.02900000000000002,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.03000000000000002,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.03100000000000002,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.03200000000000002,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.03300000000000002,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.03400000000000002,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.035000000000000024,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.036000000000000025,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.037000000000000026,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.03800000000000003,25.0,17.996
